season,driverId,points,position,wins
2013,garde,0,21,0
2013,kovalainen,0,22,0
2013,chilton,0,23,0
2014,hamilton,384,1,11
2014,rosberg,317,2,5
2014,ricciardo,238,3,3
2014,bottas,186,4,0
2014,vettel,167,5,0
2014,alonso,161,6,0
2014,massa,134,7,0
2014,button,126,8,0
2014,hulkenberg,96,9,0
2014,perez,59,10,0
2014,kevin_magnussen,55,11,0
2014,raikkonen,55,12,0
2014,vergne,22,13,0
2014,grosjean,8,14,0
2014,kvyat,8,15,0
2014,maldonado,2,16,0
2014,jules_bianchi,2,17,0
2014,sutil,0,18,0
2014,ericsson,0,19,0
2014,gutierrez,0,20,0
2014,chilton,0,21,0
2014,kobayashi,0,22,0
2014,stevens,0,23,0
2014,lotterer,0,24,0
2015,hamilton,381,1,10
2015,rosberg,322,2,6
2015,vettel,278,3,3
2015,raikkonen,150,4,0
2015,bottas,136,5,0
2015,massa,121,6,0
2015,kvyat,95,7,0
2015,ricciardo,92,8,0
2015,perez,78,9,0
2015,hulkenberg,58,10,0
2015,grosjean,51,11,0
2015,max_verstappen,49,12,0
2015,nasr,27,13,0
2015,maldonado,27,14,0
2015,sainz,18,15,0
2015,button,16,16,0
2015,alonso,11,17,0
2015,ericsson,9,18,0
2015,merhi,0,19,0
2015,rossi,0,20,0
2015,stevens,0,21,0
2015,kevin_magnussen,0,22,0
2016,rosberg,385,1,9
2016,hamilton,380,2,10
2016,ricciardo,256,3,1
2016,vettel,212,4,0
2016,max_verstappen,204,5,1
2016,raikkonen,186,6,0
2016,perez,101,7,0
2016,bottas,85,8,0
2016,hulkenberg,72,9,0
2016,alonso,54,10,0
2016,massa,53,11,0
2016,sainz,46,12,0
2016,grosjean,29,13,0
2016,kvyat,25,14,0
2016,button,21,15,0
2016,kevin_magnussen,7,16,0
2016,nasr,2,17,0
2016,jolyon_palmer,1,18,0
2016,wehrlein,1,19,0
2016,vandoorne,1,20,0
2016,gutierrez,0,21,0
2016,ericsson,0,22,0
2016,ocon,0,23,0
2016,haryanto,0,24,0
2017,hamilton,363,1,9
2017,vettel,317,2,5
2017,bottas,305,3,3
2017,raikkonen,205,4,0
2017,ricciardo,200,5,1
2017,max_verstappen,168,6,2
2017,perez,100,7,0
2017,ocon,87,8,0
2017,sainz,54,9,0
2017,hulkenberg,43,10,0
2017,massa,43,11,0
2017,stroll,40,12,0
2017,grosjean,28,13,0
2017,kevin_magnussen,19,14,0
2017,alonso,17,15,0
2017,vandoorne,13,16,0
2017,jolyon_palmer,8,17,0
2017,wehrlein,5,18,0
2017,kvyat,5,19,0
2017,ericsson,0,20,0
2017,gasly,0,21,0
2017,giovinazzi,0,22,0
2017,brendon_hartley,0,23,0
2017,button,0,24,0
2017,resta,0,25,0
2018,hamilton,408,1,11
2018,vettel,320,2,5
2018,raikkonen,251,3,1
2018,max_verstappen,249,4,2
2018,bottas,247,5,0
2018,ricciardo,170,6,2
2018,hulkenberg,69,7,0
2018,perez,62,8,0
2018,kevin_magnussen,56,9,0
2018,sainz,53,10,0
2018,alonso,50,11,0
2018,ocon,49,12,0
2018,leclerc,39,13,0
2018,grosjean,37,14,0
2018,gasly,29,15,0
2018,vandoorne,12,16,0
2018,ericsson,9,17,0
2018,stroll,6,18,0
2018,brendon_hartley,4,19,0
2018,sirotkin,1,20,0
2019,hamilton,413,1,11
2019,bottas,326,2,4
2019,max_verstappen,278,3,3
2019,leclerc,264,4,2
2019,vettel,240,5,1
2019,sainz,96,6,0
2019,gasly,95,7,0
2019,albon,92,8,0
2019,ricciardo,54,9,0
2019,perez,52,10,0
2019,norris,49,11,0
2019,raikkonen,43,12,0
2019,kvyat,37,13,0
2019,hulkenberg,37,14,0
2019,stroll,21,15,0
2019,kevin_magnussen,20,16,0
2019,giovinazzi,14,17,0
2019,grosjean,8,18,0
2019,kubica,1,19,0
2019,russell,0,20,0
2020,hamilton,347,1,11
2020,bottas,223,2,2
2020,max_verstappen,214,3,2
2020,perez,125,4,1
2020,ricciardo,119,5,0
2020,sainz,105,6,0
2020,albon,105,7,0
2020,leclerc,98,8,0
2020,norris,97,9,0
2020,gasly,75,10,1
2020,stroll,75,11,0
2020,ocon,62,12,0
2020,vettel,33,13,0
2020,kvyat,32,14,0
2020,hulkenberg,10,15,0
2020,raikkonen,4,16,0
2020,giovinazzi,4,17,0
2020,russell,3,18,0
2020,grosjean,2,19,0
2020,kevin_magnussen,1,20,0
2020,latifi,0,21,0
2020,aitken,0,22,0
2020,pietro_fittipaldi,0,23,0
2021,max_verstappen,395.5,1,10
2021,hamilton,387.5,2,8
2021,bottas,226,3,1
2021,perez,190,4,1
2021,sainz,164.5,5,0
2021,norris,160,6,0
2021,leclerc,159,7,0
2021,ricciardo,115,8,1
2021,gasly,110,9,0
2021,alonso,81,10,0
2021,ocon,74,11,1
2021,vettel,43,12,0
2021,stroll,34,13,0
2021,tsunoda,32,14,0
2021,russell,16,15,0
2021,raikkonen,10,16,0
2021,latifi,7,17,0
2021,giovinazzi,3,18,0
2021,mick_schumacher,0,19,0
2021,kubica,0,20,0
2021,mazepin,0,21,0
2022,max_verstappen,454,1,15
2022,leclerc,308,2,3
2022,perez,305,3,2
2022,russell,275,4,1
2022,sainz,246,5,1
2022,hamilton,240,6,0
2022,norris,122,7,0
2022,ocon,92,8,0
2022,alonso,81,9,0
2022,bottas,49,10,0
2022,ricciardo,37,11,0
2022,vettel,37,12,0
2022,kevin_magnussen,25,13,0
2022,gasly,23,14,0
2022,stroll,18,15,0
2022,mick_schumacher,12,16,0
2022,tsunoda,12,17,0
2022,zhou,6,18,0
2022,albon,4,19,0
2022,latifi,2,20,0
2022,de_vries,2,21,0
2022,hulkenberg,0,22,0
