raceId,driverId,constructorId,number,grid,position,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
Australian Grand Prix,ricciardo,red_bull,3,8,4,12,58,+7.069,5380352,54,1,1:25.945,222.128,Finished
Australian Grand Prix,alonso,mclaren,14,10,5,10,58,+27.886,5401169,57,7,1:26.978,219.489,Finished
Australian Grand Prix,max_verstappen,red_bull,33,4,6,8,58,+28.945,5402228,54,5,1:26.880,219.737,Finished
Australian Grand Prix,hulkenberg,renault,27,7,7,6,58,+32.671,5405954,57,9,1:27.081,219.230,Finished
Australian Grand Prix,bottas,mercedes,77,15,8,4,58,+34.339,5407622,54,8,1:27.019,219.386,Finished
Australian Grand Prix,vandoorne,mclaren,2,11,9,2,58,+34.921,5408204,57,6,1:26.958,219.540,Finished
Australian Grand Prix,sainz,renault,55,9,10,1,58,+45.722,5419005,51,12,1:27.944,217.079,Finished
Australian Grand Prix,perez,force_india,11,12,11,0,58,+46.817,5420100,51,11,1:27.633,217.849,Finished
Australian Grand Prix,ocon,force_india,31,14,12,0,58,+1:00.278,5433561,57,10,1:27.600,217.931,Finished
Australian Grand Prix,leclerc,sauber,16,18,13,0,58,+1:15.759,5449042,56,15,1:28.759,215.085,Finished
Australian Grand Prix,stroll,williams,18,13,14,0,58,+1:18.288,5451571,55,14,1:28.511,215.688,Finished
Australian Grand Prix,brendon_hartley,toro_rosso,28,16,15,0,57,,,57,13,1:28.176,216.507,+1 Lap
Australian Grand Prix,grosjean,haas,8,6,16,0,24,,,23,16,1:28.805,214.974,Wheel
Australian Grand Prix,kevin_magnussen,haas,20,5,17,0,22,,,21,17,1:29.534,213.224,Wheel
Australian Grand Prix,gasly,toro_rosso,10,20,18,0,13,,,13,18,1:30.649,210.601,Engine
Australian Grand Prix,ericsson,sauber,9,17,19,0,5,,,4,19,1:32.210,207.036,Steering
Australian Grand Prix,sirotkin,williams,35,19,20,0,4,,,3,20,1:32.573,206.224,Brakes
Australian Grand Prix,bottas,mercedes,77,2,1,26,58,1:25:27.325,5127325,57,1,1:25.580,223.075,Finished
Australian Grand Prix,hamilton,mercedes,44,1,2,18,58,+20.886,5148211,57,2,1:26.057,221.839,Finished
Australian Grand Prix,max_verstappen,red_bull,33,4,3,15,58,+22.520,5149845,57,3,1:26.256,221.327,Finished
Australian Grand Prix,vettel,ferrari,5,3,4,12,58,+57.109,5184434,16,8,1:27.954,217.054,Finished
Australian Grand Prix,leclerc,ferrari,16,5,5,10,58,+58.203,5185528,58,4,1:26.926,219.621,Finished
Australian Grand Prix,kevin_magnussen,haas,20,7,6,8,58,+1:27.156,5214481,56,9,1:28.182,216.493,Finished
Australian Grand Prix,hulkenberg,renault,27,11,7,6,57,,,52,12,1:28.444,215.851,+1 Lap
Australian Grand Prix,raikkonen,alfa,7,9,8,4,57,,,52,11,1:28.270,216.277,+1 Lap
Australian Grand Prix,stroll,racing_point,18,16,9,2,57,,,29,7,1:27.568,218.011,+1 Lap
Australian Grand Prix,kvyat,toro_rosso,26,15,10,1,57,,,39,6,1:27.448,218.310,+1 Lap
Australian Grand Prix,gasly,red_bull,10,17,11,0,57,,,39,5,1:27.229,218.858,+1 Lap
Australian Grand Prix,norris,mclaren,4,8,12,0,57,,,17,16,1:28.555,215.581,+1 Lap
Australian Grand Prix,perez,racing_point,11,10,13,0,57,,,41,15,1:28.485,215.751,+1 Lap
Australian Grand Prix,albon,toro_rosso,23,13,14,0,57,,,43,10,1:28.188,216.478,+1 Lap
Australian Grand Prix,giovinazzi,alfa,99,14,15,0,57,,,29,14,1:28.479,215.766,+1 Lap
Australian Grand Prix,russell,williams,63,19,16,0,56,,,55,17,1:28.713,215.197,+2 Laps
Australian Grand Prix,kubica,williams,88,20,17,0,55,,,30,18,1:29.284,213.821,+3 Laps
Australian Grand Prix,grosjean,haas,8,6,18,0,29,,,17,13,1:28.462,215.807,Wheel
Australian Grand Prix,ricciardo,renault,3,12,19,0,28,,,18,19,1:29.848,212.478,Damage
Australian Grand Prix,sainz,mclaren,55,18,20,0,9,,,9,20,1:30.899,210.022,Engine
Austrian Grand Prix,bottas,mercedes,77,1,1,25,71,1:30:55.739,5455739,68,2,1:07.657,229.758,Finished
Austrian Grand Prix,leclerc,ferrari,16,7,2,18,71,+2.700,5458439,64,4,1:07.901,228.933,Finished
Austrian Grand Prix,norris,mclaren,4,3,3,16,71,+5.491,5461230,71,1,1:07.475,230.378,Finished
Austrian Grand Prix,hamilton,mercedes,44,5,4,12,71,+5.689,5461428,67,3,1:07.712,229.572,Finished
Austrian Grand Prix,sainz,mclaren,55,8,5,10,71,+8.903,5464642,63,5,1:07.974,228.687,Finished
Austrian Grand Prix,perez,racing_point,11,6,6,8,71,+15.092,5470831,63,6,1:08.305,227.579,Finished
Austrian Grand Prix,gasly,alphatauri,10,12,7,6,71,+16.682,5472421,64,11,1:09.025,225.205,Finished
Austrian Grand Prix,ocon,renault,31,14,8,4,71,+17.456,5473195,64,10,1:08.932,225.509,Finished
Austrian Grand Prix,giovinazzi,alfa,99,18,9,2,71,+21.146,5476885,70,9,1:08.796,225.954,Finished
Austrian Grand Prix,vettel,ferrari,5,11,10,1,71,+24.545,5480284,71,8,1:08.623,226.524,Finished
Austrian Grand Prix,latifi,williams,6,20,11,0,71,+31.650,5487389,63,16,1:09.662,223.146,Finished
Austrian Grand Prix,kvyat,alphatauri,26,13,12,0,69,,,50,13,1:09.135,224.847,Suspension
Austrian Grand Prix,albon,red_bull,23,4,13,0,67,,,50,7,1:08.432,227.156,Electronics
Austrian Grand Prix,raikkonen,alfa,7,19,14,0,53,,,48,12,1:09.031,225.185,Wheel
Austrian Grand Prix,russell,williams,63,17,15,0,49,,,49,14,1:09.317,224.256,Fuel pressure
Austrian Grand Prix,grosjean,haas,8,15,16,0,49,,,46,17,1:10.228,221.347,Brakes
Austrian Grand Prix,kevin_magnussen,haas,20,16,17,0,24,,,23,20,1:10.720,219.807,Brakes
Austrian Grand Prix,stroll,racing_point,18,9,18,0,20,,,4,18,1:10.326,221.039,Engine
Austrian Grand Prix,ricciardo,renault,3,10,19,0,17,,,8,19,1:10.610,220.150,Overheating
Austrian Grand Prix,max_verstappen,red_bull,33,2,20,0,11,,,5,15,1:09.351,224.146,Electronics
Bahrain Grand Prix,hamilton,mercedes,44,2,1,25,56,1:32:03.897,5523897,44,4,1:34.015,207.235,Finished
Bahrain Grand Prix,max_verstappen,red_bull,33,1,2,18,56,+0.745,5524642,41,2,1:33.228,208.984,Finished
Bahrain Grand Prix,bottas,mercedes,77,3,3,16,56,+37.383,5561280,56,1,1:32.090,211.566,Finished
Bahrain Grand Prix,norris,mclaren,4,7,4,12,56,+46.466,5570363,38,6,1:34.396,206.398,Finished
Bahrain Grand Prix,perez,red_bull,11,0,5,10,56,+52.047,5575944,44,3,1:33.970,207.334,Finished
Bahrain Grand Prix,leclerc,ferrari,16,4,6,8,56,+59.090,5582987,39,11,1:34.988,205.112,Finished
Bahrain Grand Prix,ricciardo,mclaren,3,6,7,6,56,+66.004,5589901,36,10,1:34.932,205.233,Finished
Bahrain Grand Prix,sainz,ferrari,55,8,8,4,56,+67.100,5590997,48,7,1:34.509,206.151,Finished
Bahrain Grand Prix,tsunoda,alphatauri,22,13,9,2,56,+85.692,5609589,38,8,1:34.761,205.603,Finished
Bahrain Grand Prix,stroll,aston_martin,18,10,10,1,56,+86.713,5610610,31,9,1:34.865,205.378,Finished
Bahrain Grand Prix,raikkonen,alfa,7,14,11,0,56,+88.864,5612761,45,14,1:35.192,204.672,Finished
Bahrain Grand Prix,giovinazzi,alfa,99,12,12,0,55,,,32,13,1:35.122,204.823,+1 Lap
Bahrain Grand Prix,ocon,alpine,31,16,13,0,55,,,33,15,1:35.250,204.548,+1 Lap
Bahrain Grand Prix,russell,williams,63,15,14,0,55,,,40,12,1:35.036,205.008,+1 Lap
Bahrain Grand Prix,vettel,aston_martin,5,20,15,0,55,,,26,16,1:35.566,203.871,+1 Lap
Bahrain Grand Prix,mick_schumacher,haas,47,18,16,0,55,,,38,18,1:36.134,202.667,+1 Lap
Bahrain Grand Prix,gasly,alphatauri,10,5,17,0,52,,,48,5,1:34.090,207.069,Retired
Bahrain Grand Prix,latifi,williams,6,17,18,0,51,,,16,19,1:36.602,201.685,Retired
Bahrain Grand Prix,alonso,alpine,14,9,19,0,32,,,31,17,1:36.063,202.816,Brakes
Bahrain Grand Prix,mazepin,haas,9,19,20,0,0,,,,,,,Accident
Bahrain Grand Prix,leclerc,ferrari,16,1,1,26,57,1:37:33.584,5853584,51,1,1:34.570,206.018,Finished
Bahrain Grand Prix,sainz,ferrari,55,3,2,18,57,+5.598,5859182,52,3,1:35.740,203.501,Finished
Bahrain Grand Prix,hamilton,mercedes,44,5,3,15,57,+9.675,5863259,53,5,1:36.228,202.469,Finished
Bahrain Grand Prix,russell,mercedes,63,9,4,12,57,+11.211,5864795,56,6,1:36.302,202.313,Finished
Bahrain Grand Prix,kevin_magnussen,haas,20,7,5,10,57,+14.754,5868338,53,8,1:36.623,201.641,Finished
Bahrain Grand Prix,bottas,alfa,77,6,6,8,57,+16.119,5869703,53,7,1:36.599,201.691,Finished
Bahrain Grand Prix,ocon,alpine,31,11,7,6,57,+19.423,5873007,53,14,1:37.110,200.630,Finished
Bahrain Grand Prix,tsunoda,alphatauri,22,16,8,4,57,+20.386,5873970,53,13,1:37.104,200.642,Finished
Bahrain Grand Prix,alonso,alpine,14,8,9,2,57,+22.390,5875974,44,10,1:36.733,201.412,Finished
Bahrain Grand Prix,zhou,alfa,24,15,10,1,57,+23.064,5876648,39,9,1:36.685,201.512,Finished
Bahrain Grand Prix,mick_schumacher,haas,47,12,11,0,57,+32.574,5886158,37,11,1:36.956,200.948,Finished
Bahrain Grand Prix,stroll,aston_martin,18,19,12,0,57,+45.873,5899457,49,15,1:37.146,200.555,Finished
Bahrain Grand Prix,albon,williams,23,14,13,0,57,+53.932,5907516,50,18,1:37.355,200.125,Finished
Bahrain Grand Prix,ricciardo,mclaren,3,18,14,0,57,+54.975,5908559,50,16,1:37.261,200.318,Finished
Bahrain Grand Prix,norris,mclaren,4,13,15,0,57,+56.335,5909919,51,12,1:36.988,200.882,Finished
Bahrain Grand Prix,latifi,williams,6,20,16,0,57,+1:01.795,5915379,51,20,1:38.251,198.300,Finished
Bahrain Grand Prix,hulkenberg,aston_martin,27,17,17,0,57,+1:03.829,5917413,49,19,1:38.201,198.401,Finished
Bahrain Grand Prix,perez,red_bull,11,4,18,0,56,,,52,4,1:36.089,202.762,Fuel pressure
Bahrain Grand Prix,max_verstappen,red_bull,1,2,19,0,54,,,51,2,1:35.440,204.140,Fuel pressure
Bahrain Grand Prix,gasly,alphatauri,10,10,20,0,44,,,34,17,1:37.324,200.189,Power Unit
